	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
0	5	6	5	3	3	5	2	2	7	1	3	3	6	1	4	3	2	5	1	4	4	6	1	4	6	5	1	2	4	6	4	3	5	2	2	6	6	1	4	6	2	5	7	2	5	3	1	1	4	3
1	5	6	4	3	3	5	2	2	6	2	2	3	5	1	4	4	3	5	1	3	4	6	1	5	7	5	1	1	3	7	4	2	6	2	4	6	6	1	2	6	4	5	6	3	5	2	1	1	4	3
2	5	5	5	3	3	5	2	2	6	1	2	3	6	1	4	4	4	5	1	3	4	5	1	3	7	4	1	1	3	6	5	2	6	2	3	6	6	1	2	6	4	6	7	2	5	3	1	2	4	4
3	5	6	4	3	4	5	2	1	6	2	2	3	6	1	5	4	2	5	1	3	3	6	1	4	7	4	1	2	4	7	5	3	6	2	3	6	6	1	2	5	3	5	6	2	5	4	1	1	4	3
4	5	6	5	3	4	5	3	1	6	2	3	2	6	1	4	4	3	5	1	4	3	6	2	4	7	4	1	2	4	5	5	3	6	1	2	6	6	1	2	6	3	5	7	2	5	2	1	1	4	3
5	5	6	4	4	4	5	3	2	6	1	2	3	6	1	5	3	3	5	1	3	4	5	1	4	7	4	1	2	5	6	4	2	6	2	2	6	5	1	3	6	2	6	7	3	4	2	1	1	5	3
6	6	5	5	2	3	5	3	1	6	2	2	3	6	1	5	4	4	5	1	4	2	6	1	4	7	4	1	2	4	5	5	3	5	2	3	7	6	1	2	6	3	6	6	3	4	2	1	1	4	3
7	5	6	5	3	4	5	2	1	6	2	2	3	6	1	5	4	3	5	1	2	4	6	1	4	7	4	1	2	4	6	4	2	6	2	3	7	6	1	3	5	3	5	6	2	5	3	1	1	3	4
8	5	6	5	3	3	5	2	2	6	1	2	3	6	1	5	4	3	5	1	3	3	6	1	4	6	4	1	2	4	7	4	2	5	2	4	6	6	1	4	6	2	5	7	2	5	3	1	1	4	3
9	4	6	5	3	3	5	3	2	6	2	2	3	6	1	5	4	4	5	1	4	3	5	1	4	7	4	2	1	4	6	5	3	6	1	3	7	6	1	2	6	3	5	6	2	5	2	1	1	4	2
10	6	5	5	3	3	4	2	2	6	1	2	4	5	1	5	3	4	5	1	4	3	5	1	4	7	4	1	2	4	6	5	2	7	1	2	6	6	1	2	6	3	6	6	3	5	3	1	2	4	3
11	5	5	5	4	4	5	2	2	7	2	3	2	6	1	4	4	3	5	1	3	4	6	1	4	6	4	1	2	3	6	5	3	6	1	3	7	6	1	3	6	2	5	6	2	4	2	1	1	5	3
12	5	6	4	3	3	5	4	1	7	1	2	3	6	1	4	4	4	5	1	3	4	5	1	3	6	5	1	2	4	6	5	2	5	2	3	7	6	2	2	6	3	6	6	3	5	2	1	1	4	2
13	6	6	5	4	4	5	3	2	6	2	2	3	5	1	4	4	3	5	1	3	4	5	1	4	6	4	1	2	3	6	5	2	6	1	3	7	5	1	3	6	2	6	7	2	5	2	1	1	4	3
14	5	6	5	2	3	5	3	2	6	1	3	2	6	1	5	3	4	5	1	4	4	5	1	4	7	4	1	2	3	6	5	2	6	1	3	7	6	2	3	5	2	6	6	2	4	3	1	1	4	4
15	6	5	4	3	4	5	2	2	6	1	3	2	6	1	5	3	3	5	1	3	4	5	1	4	7	5	1	2	4	6	5	2	6	2	4	7	6	1	2	6	2	5	6	3	4	3	1	1	4	3
16	5	6	5	2	4	5	3	1	6	2	2	2	6	1	4	3	4	5	1	3	3	6	1	4	7	4	1	2	4	6	4	3	5	2	3	7	6	1	2	5	4	6	6	3	5	2	1	1	5	3
